name,desc,members,password,tags
Chess Club,Be the knight with chess club,18b~17m~18h,0307020403190319031A030C031B0301,Sports~Indoor~new_tag
Quidditch Club,You're the Wizard,18b,0307020403190319031A030C031B0301,Sports~Outdoor~Fall
Queen's E-Sports Association,That's right #1 Victory Royale!,18n,0307020403190319031A030C031B0301,E-Sports~Indoor~Winter~Fall
Juggling Club,Juggle your life with Juggling Club,18n,0307020403190319031A030C031B0301,Sports~Indoor~Fitness
Intramural Co-Ed Volleyball,Volleyball,19h~18h,0307020403190319031A030C031B0301,Sports~Indoor~Co-Ed
Tree Planting Club,Trees are brownê trees are greenê don't join the club and we steal your spleen,19h,0307020403190319031A030C031B0301,STEM~Mental Health
Improv Club,Improvising through life,17mew6~17c,0307020403190319031A030C031B0301,Arts~Arts-Theatre~Mental Health~Welness
Debate Club,Debate usê we dare you,17m,0307020403190319031A030C031B0301,SocialIssuesAndAdvocacy
Squirrel Watching Club,Squirrels are cool,18e,0307020403190319031A030C031B0301,Mental Health~Outdoor
Vertical Farm Design Team,Upê ipê and up we go!,18e~18h,0307020403190319031A030C031B0301,STEM~STEM-Engineering~STEM-Science
Music Production Club,Funky Fresh Beats,17c,0307020403190319031A030C031B0301,Arts~Arts-Music~Business
